Name,Segment,Current role,Geo,LinkedIn,Source,Why included,Conf.
Beliz Gunel,Research,"Senior Research Scientist, Google DeepMind","Mountain View, CA",https://www.linkedin.com/in/beliz-gunel-7252bb78,https://www.linkedin.com/in/beliz-gunel-7252bb78,"LLM researcher, visible activity around AI agents workshop",High
Arya McCarthy,Research,"Senior Research Scientist, Noetica AI","New York, NY",https://www.linkedin.com/in/aryamccarthy,https://www.linkedin.com/in/aryamccarthy,Current research scientist with LLM background,Medium
Arushi Gupta,Research,Research Scientist working on Gemini,"Princeton, NJ",https://www.linkedin.com/in/arushi-gupta-727833103,https://www.linkedin.com/in/arushi-gupta-727833103,"Frontier-model researcher, recently on Gemini/Meta track",High
Madhavi Yenugula,Research/Eng,"Research Scientist / LLM & Search Engineer, Google DeepMind","Mountain View, CA",https://www.linkedin.com/in/madhavi-yenugula,https://www.linkedin.com/in/madhavi-yenugula,Strong applied LLM/search signal,High
Aditya Akella,Research,"Professor, UT Austin","Austin, TX",https://www.linkedin.com/in/aditya-akella-5327148,https://ai-discovery-in-the-wild.github.io/,Invited speaker on AI agents for discovery/systems,High
James Zou,Research,"Associate Professor, Stanford","Palo Alto, CA",https://www.linkedin.com/in/james-zou-2123a4133,https://ai-discovery-in-the-wild.github.io/,Strong AI/biomed/agentic research presence,High
Graham Neubig,Research,CMU / OpenHands,"Pittsburgh, PA",https://www.linkedin.com/in/graham-neubig-10b41616b,https://ai-discovery-in-the-wild.github.io/,Core NLP/agents researcher; OpenHands relevance,High
Mohammad Alizadeh,Research,MIT / Glia AI,Greater Boston,https://www.linkedin.com/in/mohammad-alizadeh-2b072241,https://ai-discovery-in-the-wild.github.io/,Tool-use/agents/infrastructure signal,High
Martin Maas,Research,"Research Scientist, Google DeepMind",SF Bay Area,https://www.linkedin.com/in/martinmaas,https://ai-discovery-in-the-wild.github.io/,GenAI-for-systems and discovery-agent angle,High
Sagar Karandikar,Research,"Assistant Professor, UC Berkeley EECS","Berkeley, CA",https://www.linkedin.com/in/karandikarsagar,https://ai-discovery-in-the-wild.github.io/,Systems/AI infrastructure relevance,High
Azalia Mirhoseini,Founder/Research,"Founder, Ricursive; Stanford; prev. DeepMind/Anthropic",SF Bay Area,https://www.linkedin.com/in/azalia-mirhoseini-a5308522,https://ai-discovery-in-the-wild.github.io/,Strong frontier AI + self-improving systems signal,High
Mert Cemri,Research,"PhD student, UC Berkeley",SF Bay Area,https://www.linkedin.com/in/mert-cemri-4a727913a,https://ai-discovery-in-the-wild.github.io/,Active around autonomous systems/OpenClaw/agent infra,Medium
Shubham Agarwal,Research,"PhD student, UC Berkeley Sky Lab",US,https://www.linkedin.com/in/agshubha,https://ai-discovery-in-the-wild.github.io/,Active on frontier CS benchmarks and agents,Medium
Alex Krentsel,Research,"Systems researcher, Google / Berkeley","San Francisco, CA",https://www.linkedin.com/in/alex-krentsel,https://ai-discovery-in-the-wild.github.io/,Organizer around discovery-agent work,High
Rui Meng,Research,"Research Scientist, Google Cloud AI","Palo Alto, CA",https://www.linkedin.com/in/memray,https://ai-discovery-in-the-wild.github.io/,Organizer; NLP/representation-learning background,High
Shu Liu,Research,UC Berkeley,"Berkeley, CA",https://www.linkedin.com/in/slynl,https://ai-discovery-in-the-wild.github.io/,Organizer with visible interest in agent systems,Medium
Devina Jain,Applied Eng,Lambda; systems/data scientist; AI safety activity,"San Francisco, CA",https://www.linkedin.com/in/devina-jain-088aba86,https://agentwild-workshop.github.io/,Speaker; practical autonomous systems + safety signal,High
Chi Wang,Founder/Research,Founder of AG2/AutoGen; Google DeepMind,"Redmond, WA",https://www.linkedin.com/in/chi-wang-autogen,https://agentwild-workshop.github.io/,One of the clearest agent-framework targets,High
Bo Li,Research/Founder,Virtue AI; UC Berkeley,SF Bay Area,https://www.linkedin.com/in/lxbosky,https://agentwild-workshop.github.io/,AI safety + agent risk/security relevance,High
Yunyao Li,Applied Research,Adobe,"San Jose, CA",https://www.linkedin.com/in/yunyao-li,https://agentwild-workshop.github.io/,Senior applied AI/research profile in enterprise AI,High
Emily McMilin,Research,"Research Scientist, Meta","Menlo Park, CA",https://www.linkedin.com/in/emilymcmilin,https://verifai-workshop.github.io/speakers,Panelist/speaker with recent code-search/RL signal,High
Jared Quincy Davis,Founder/Research,Mithril; Stanford PhD,"Palo Alto, CA",https://www.linkedin.com/in/jaredquincydavis,https://agentwild-workshop.github.io/,Strong agent evaluation/deployment founder-researcher profile,High
